게임명,플레이 시간,최종 / 현 레벨,
League of Legends,5000+,에메랄드 / 플래티넘,
Mafia42,1000+,약 7000판,
Minecraft,1000+,다회차 플레이,
Cartrider,500+,서비스 종료로 레벨 파악 실패,
Overwatch,500+,골드,
GTA Online,250+,"195 lvl, 전체 부동산",
Heroes of the Storm,200+,56 lvl,
Cookie Run: For Kakao,200+,지옥 무한 달리기 등등,
Pokemon Series,200+ (Clear),"Pearl, Platinum, SoulSilver, Black, Black 2, X --> 클리어",
Seven Knights,200+,실버-->마스터,
Sid Meier's Civilization V,150+,다회 플레이,
Terraria,150+ (Clear),다회차 플레이,
Bubble Fighter,100+,,
Cookie Clicker,100+,다회차 플레이,
Cookie Run: Kingdom,100+,"49 lvl, 번영도:66,497,336점",
GTA5,100+,다회차 플레이,
Maple Story,100+,수 캐릭터 200+ ,
Modoo Marble,100+,34 lvl,
Palworld,70+ (Clear),1회차 완료,
Sid Meier's Civilization VI,62+,다회 플레이,
Bounce Ball,50+,32 Unknown Planet,
Cookie Run: Ovenbreak,50+,68 lvl,
Hollow Knight,50+ (Clear),1회차 완료,
Kirby: Squeak Squad,50+ (Clear),다회차 플레이,
Pokemon Mystery Dungeon: Blue Rescue Team,50+ (Clear),1회차 완료,
Cooking Mama,40+ (Clear),다회차 플레이,
Cyberpunk 2077,40+ (Clear),1회차 완료,
Dragon Ball Wii,40+ (Clear),1회차 완료,
Hades,40+ (Clear),다회차 플레이,
Microsoft Solitaire Collection,40+,,
Stardew Valley,40+,,
Super Mario Bros. Wii,40+ (Clear),1회차 완료,
Angry Birds,30+ (Clear),다회차 플레이,
Bad Piggies,30+,1회차 완료,
Bloons TD 5,30+,,
Dave the Diver,30+ (Clear),1회차 완료,
Super Mario Bros. DS,30+ (Clear),다회차 플레이,
Tales Runner,30+,,
Cult of the Lamb,25+ (Clear),일반 모드 1회차 완료,
Bloons TD 6,20+,,
Dragon Flight,20+,,
Elden Ring,20+,49 lvl,
It Takes Two,20+ (Clear),1회차 완료,
Mario & Luigi: Bowser's Inside Story,20+ (Clear),1회차 완료,
Mario & Luigi: Partners in Time,20+ (Clear),1회차 완료,
Nintendo Smash Bros. Wii,20+ (Clear),1회차 완료,
Ori and the Will of the Wisps,20+ (100%),100% 클리어,
Plants vs. Zombies,20+ (Clear),다회차 플레이,
Vampire Survivors,20+,"모든 아이템, 맵 언락",
초 극장판 개구리 중사 케로로 더 무비 천공대모험,20+ (Clear),1회차 완료,
Don't starve together,15+,,
Stacklands,15+ (Clear),1회차 완료,
Air Rider,10+,서비스 종료로 레벨 파악 실패,
BADLAND,10+ (Clear),다회차 플레이,
Baldur's Gate 3,10+,,
Cookie Run: Munjil Munjil,10+,,
Death's Door,10+ (100%),100% 클리어,
Forza Horizon 5,10+,,
Frostrain,10+ (100%),100% 클리어,
Goat Simulator,10+,,
Grand Theft Auto: Chinatown Wars,10+,,
High On Life,10+ (Clear),1회차 완료,
Kirby Mass Attack,10+ (Clear),1회차 완료,
Kirby: Super Star Ultra,10+ (Clear),1회차 완료,
Kirby's Return to Dream Land Deluxe,10+,,
Maple Story 2,10+,,
Marble Rivers,10+,,
Mario & Sonic Olympic Series:,10+,"Beijing, Vancouver, London", London
Mario Kart 7,10+,,
Mario Kart DS,10+,,
Mario Kart Wii,10+,,
