∞‘¿”∏Ì,«√∑π¿Ã Ω√∞£,√÷¡æ ∑π∫ß,±‚≈∏
League of Legends,5000+,,
Mafia42,1000+,,
Cartrider,500+,,
Minecraft,500+,,
Overwatch,500+,,
GTA Online,250+,,
Cookie Run: For Kakao,200+,,
Pokemon Series:,200+ (Clear),,
Seven Knights,200+,,
Sid Meier's Civilization V,150+,,
Terraria,150+,,
Bubble Fighter,100+,,
Cookie Clicker,100+,,
Cookie Run: Kingdom,100+,,
GTA5,100+,,
Maple Story,100+,,
Modoo Marble,100+,,
Palworld,70+,,
Sid Meier's Civilization VI,62+,,
Bounce Ball,50+,,
Cookie Run: Ovenbreak,50+,,
Hollow Knight,50+,,
Kirby: Squeak Squad,50+ (Clear),,
Pokemon Mystery Dungeon: Blue Rescue Team,50+ (Clear),,
Cooking Mama,40+ (Clear),,
Cyberpunk 2077,40+,,
Dragon Ball Wii,40+ (Clear),,
Hades,40+,,
Microsoft Solitaire Collection,40+,,
Stardew Valley,40+,,
Super Mario Bros. Wii,40+ (Clear),,
Angry Birds,30+,,
Angry Birds Space,10+,,
Bad Piggies,30+,,
Bloons TD 5,30+,,
Dave the Diver,30+ (Clear),,
Super Mario Bros. DS,30+ (Clear),,
Tales Runner,30+,,
Cult of the Lamb,25+ (Clear),,
Bloons TD 6,20+,,
Dragon Flight,20+,,
Elden Ring,20+,,
It Takes Two,20+,,
Mario & Luigi: Bowser's Inside Story,20+ (Clear),,
Mario & Luigi: Partners in Time,20+ (Clear),,
Nintendo Smash Bros. Wii,20+,,
Ori and the Will of the Wisps,20+ (100%),,
Plants vs. Zombies,20+ (Clear),,
Vampire Survivors,20+,,
Ï¥?Í∑πÏû•??Í∞úÍµ¨Î¶?Ï§ëÏÇ¨ ÏºÄÎ°úÎ°ú ??Î¨¥ÎπÑ Ï≤úÍ≥µ?ÄÎ™®Ìóò,20+ (Clear),,
Don't starve together,15+,,
Stacklands,15+,,
Air Rider,11+,,
BADLAND,10+ (Clear),,
Baldur's Gate 3,10+,,
Cookie Run: Munjil Munjil,10+,,
Death's Door,10+ (100%),,
Forza Horizon 5,10+,,
Frostrain,10+ (100%),,
Goat Simulator,10+,,
Grand Theft Auto: Chinatown Wars,10+,,
High On Life,10+ (Clear),,
Kirby Mass Attack,10+ (Clear),,
Kirby: Super Star Ultra,10+ (Clear),,
Kirby's Return to Dream Land Deluxe,10+,,
Maple Story 2,10+,,
Marble Rivers,10+,,
Mario & Sonic Olympic Series:,Beijing,  Vancouver, London
Mario Kart 7,10+,,
Mario Kart DS,10+,,
Mario Kart Wii,10+,,
Microsoft Mahjong,10+,,
Microsoft Minesweeper,10+,,
Minecraft Dungeons,10+,,
Moonlighter,10+ (Clear),,
Overcooked! 2,10+ (Clear),,
Placid Plastic Duck Simulator,10+,,
Professor Layton and the Curious Village,10+ (Clear),,
Rhythm Heaven,10+ (Clear),,
Slay The Spire,10+,,
SUPERHOT,10+,,
Super Paper Mario,10+,,
Supraland,10+ (Clear),,
Supraland: Six Inches Under,10+ (Clear),,
Tetris,10+,,
ªÍ≥™∫Ò +10,,,
Husky Express,7+,,
Lies of P,7+,,
Apex Legends,5+,,
Asphalt 9: Legends,5+,,
Bloons TD 4,5+,,
Borderlands 3,5+,,
Celeste,5+,,
Dead Cells,5+,,
Far Cry 5,5+,,
INSIDE,5+ (Clear),,
Minecraft Legends,5+,,
Neon Abyss,5+,,
Paragon: The Overprime,5+,,
PowerWash Simulator,5+,,
Psychonauts 2,5+,,
Red Dead Redemption 2,5+,,
Skull: The Hero Slayer,5+,,
Starfield,5+,,
Super Mario Bros.2 DS,5+,,
Unrailed,5+ (Clear),,
Unrailed 2: Back on Track,5+,,
Arrow A Row,3+ (Clear),,
Assassin's Creed Odyssey,3+,,
Atomic Heart,3+,,
Cities: Skylines 2,3+,,
Cuphead,3+,,
Descenders,3+,,
Donut Country,3+ (Clear),,
Escape Academy,3+ (100%),,
First Descendant,3+,,
For the King,3+,,
Frog Detective: The Entire Mystery,3+ (100%),,
Gang Beasts,3+,,
Ghostwire Tokyo,3+,,
Grounded,3+,,
Gunfire Reborn,3+,,
Headbangers: Rhythm Royale,3+,,
Hi-Fi RUSH,3+,,
HITMAN,3+,,
Hogwarts Legacy,3+,,
Just Cause 4,3+,,
Lonely Mountains: Downhill,3+,,
McPixel 3,3+ (100%),,
Mini Metro,3+,,
PAC MAN,3+,,
Portal 2,3+ (Clear),,
Readfall,3+,,
Surgeon Simulator 2,3+,,
Trove,3+,,
Two Point Campus,3+,,
Veiled Experts,3+,,
Venba,3+,,
Warframe,3+,,
XCOM 2,3+,,
A Short Hike,2+ (100%),,
Asgard's Fall: Origins,2+,,
Assassin's Creed Syndicate,2+,,
Crypt of the NecroDancer,2+,,
Disc Room,2+,,
Dreamscaper,2+,,
Enter the Gungeon,2+,,
Exit the Gungeon,2+,,
Figment,2+,,
Goat Simulator 3,2+,,
Golf With Your Friends,2+,,
Gotham Knights,2+,,
HOT WHEELS UNLEASHED,2+,,
Human Fall Flat,2+,,
Kingdom Come Deliverance,2,,
LIMBO,2+ (100%),,
Maquette,2+,,
Mincrosoft Sudoku,2+,,
Nobody Saves the World,2+,,
Outer Worlds,2+,,
PAYDAY 3,2+,,
Peppa Pig,2+,,
Phantom Abyss,2+,,
Somerville,2+,,
Spelunky 2,2+,,
Superliminal,2+,,
TEKKEN 7,2+,,
The Binding of Isaac,2+,,
The Binding of Isaac: Rebirth,2+,,
The Finals,2+,,
The Last Case of Benedict Fox,2+,,
TOEM,2+ (100%),,
TUNIC,2+,,
Watch Dogs 2,2,,
Wo Long: Fallen Dynasty,2+,,
?∞Íµ¥?∞Íµ¥ Ï´Ä?ùÏ???Í¥¥Ìòº,2+,,
Die in Dungeon,1,,
Divide by Sheep,1+,,
Doors - Paradox,1+,,
Helltaker,1+ (Clear),,
Naraka: Bladepoint,1+,,
Ravenlok,1+,,
Sifu,1+,,
Trek to Yomi,1+,,
